ACTIVE_USER_DAYS_TRANSFORMED,ACTIVE_USER_DAYS,probability
-0.33339366233345075,0.0,0.22855870255413469
-0.24396995076489805,0.5,0.2910719741945159
-0.1545462391963454,1.0,0.36264570107717536
-0.0651225276277927,1.5,0.4408741036100569
0.024301183940759963,2.0,0.5221526762944316
0.11372489550931264,2.5,0.6022748746129807
0.2031486070778653,3.0,0.6772662685054269
0.292572318646418,3.5,0.7441251818537229
0.3819960302149707,4.0,0.8011989959174369
0.47141974178352336,4.5,0.8481403085971857
0.560843453352076,5.0,0.8855806305629522
0.6502671649206287,5.5,0.9147183733530987
0.7396908764891814,6.0,0.9369641410757424
0.8291145880577341,6.5,0.9537008003439407
0.9185382996262867,7.0,0.9661542277946911
1.0079620111948393,7.5,0.9753445650341226
1.097385722763392,8.0,0.9820856685290001
1.1868094343319449,8.5,0.9870082207077762
1.2762331459004974,9.0,0.9905910986049188
1.3656568574690502,9.5,0.993192703795117
1.455080569037603,10.0,0.9950785269143898
